stopPointRef,no_of_buses
NSR:Quay:10090,18119
NSR:Quay:51738,5680
NSR:Quay:49168,2110
NSR:Quay:45384,799
NSR:Quay:55937,36543
NSR:Quay:6281,17752
NSR:Quay:80544,1653
NSR:Quay:122019,23308
NSR:Quay:49439,56574
NSR:Quay:46040,13028
NSR:Quay:8570,43606
NSR:Quay:7944,42163
NSR:Quay:54124,2390
NSR:Quay:24429,21884
NSR:Quay:86866,4597
NSR:Quay:48468,13637
NSR:Quay:75016,3040
NSR:Quay:53964,69911
NSR:Quay:8084,96607
NSR:Quay:32277,9149
NSR:Quay:32117,627
NSR:Quay:30442,23425
NSR:Quay:70713,9718
NSR:Quay:12299,107461
NSR:Quay:106947,29705
NSR:Quay:51416,16607
NSR:Quay:53826,9602
NSR:Quay:32673,8724
NSR:Quay:10059,96120
NSR:Quay:45984,12573
NSR:Quay:82444,4031
NSR:Quay:84219,1273
NSR:Quay:4444,12784
NSR:Quay:11192,60458
NSR:Quay:7643,27336
NSR:Quay:65651,13206
NSR:Quay:68523,2842
NSR:Quay:6895,24433
NSR:Quay:55659,5130
NSR:Quay:35821,1123
NSR:Quay:55853,2898
NSR:Quay:32091,9330
NSR:Quay:77173,248
NSR:Quay:29867,45019
NSR:Quay:29964,3223
NSR:Quay:12079,128906
NSR:Quay:50573,3515
NSR:Quay:86854,1180
NSR:Quay:39317,2431
NSR:Quay:32683,957
NSR:Quay:41935,4200
NSR:Quay:74645,2795
NSR:Quay:37932,2043
14417449,379
NSR:Quay:93066,1905
NSR:Quay:83993,1926
NSR:Quay:53543,2098
NSR:Quay:32162,755
NSR:Quay:88229,1192
NSR:Quay:43755,20244
NSR:Quay:10901,50846
NSR:Quay:55736,19695
14497025,2262
NSR:Quay:46008,29353
NSR:Quay:26140,9599
NSR:Quay:8295,5554
NSR:Quay:47939,8406
NSR:Quay:67728,21054
NSR:Quay:43584,1920
NSR:Quay:74913,15149
NSR:Quay:25922,4066
NSR:Quay:49274,2021
NSR:Quay:53241,137183
NSR:Quay:46044,41674
NSR:Quay:88161,1684
NSR:Quay:24395,32957
NSR:Quay:25894,8168
NSR:Quay:7886,7826
NSR:Quay:7953,2505
NSR:Quay:55947,35728
NSR:Quay:53005,6147
14313521,5267
NSR:Quay:42406,4656
NSR:Quay:36129,6160
NSR:Quay:37457,6319
NSR:Quay:27894,30665
NSR:Quay:92169,853
NSR:Quay:55263,19188
14436771,5867
NSR:Quay:34805,364
NSR:Quay:98158,408
