id,parentTrafficLinkId,stopPointRef,stopOnTrafficLink,stopCertainty,stopsServeDifferentBuses,trikkestopp,comment,hasOnlyPublicTransportLanes,isRamp,length,maxLanes,minLanes,startTrafficNodeId,endTrafficNodeId,text
0.0-1.0@625282-WITH,0.0-1.0@625282,NSR:Quay:10301,TRUE,,,,"Ved Karihaugen, Oslo.",TRUE,TRUE,311,1,1,647580,647350,Road system reference: EV6 S17D1 m3444 KD5 m0-311
0.0-1.0@625344-WITH,0.0-1.0@625344,NSR:Quay:11888,FALSE,Medium,,,"Vækerø, Oslo",TRUE,TRUE,293.602,1,1,628989,628723,Road system reference: EV18 S55D1 m619 KD4 m0-294
0.0-1.0@625390-WITH,0.0-1.0@625390,NSR:Quay:10697,FALSE,Low,,,"Ammerud, Oslo.",TRUE,TRUE,49,1,1,646732,646710,Road system reference: RV4 S1D1 m6330 KD5 m0-49
0.0-1.0@625393-WITH,0.0-1.0@625393,NSR:Quay:10736,TRUE,,,,"Grorud, Oslo",TRUE,TRUE,184,1,1,647258,647419,Road system reference: RV4 S1D1 m7054 KD5 m0-184
0.0-1.0@625396-WITH,0.0-1.0@625396,NSR:Quay:10739,TRUE,,,,"Grorud, Oslo",TRUE,TRUE,43.271,1,1,647344,647298,Road system reference: RV4 S1D1 m7054 KD6 m0-43
0.0-1.0@625399-WITH,0.0-1.0@625399,NSR:Quay:10648,TRUE,,,,"Bredtvet, Oslo",TRUE,TRUE,44.888,1,1,645958,645935,Road system reference: RV4 S1D1 m4889 KD5 m0-45
0.0-1.0@625453-WITH,0.0-1.0@625453,NSR:Quay:12016,FALSE,High,,,"Radiumhospitalet, Oslo",TRUE,TRUE,37.147,1,1,629279,629229,Road system reference: RV150 S2D1 m5685 KD7 m0-37
0.0-1.0@625456-WITH,0.0-1.0@625456,NSR:Quay:12013,FALSE,High,,,"Radiumhospitalet, Oslo",TRUE,TRUE,39,1,1,629102,629133,Road system reference: RV150 S2D1 m5685 KD5 m0-39
0.0-1.0@625507-WITH,0.0-1.0@625507,NSR:Quay:11819,TRUE,,,,Skøyen stasjon,TRUE,FALSE,96.688,1,1,630047,630122,Road system reference: KV161 S5D1 m0-97
0.0-1.0@805004-WITH,0.0-1.0@805004,"NSR:Quay:53114, NSR:Quay:53118, NSR:Quay:53115, NSR:Quay:53117",FALSE,High,TRUE,,Bergen,TRUE,FALSE,235.009,1,1,822914,823073,Road system reference: FV589 S1D1 m0-235
